Code,Nom,S3REnR,Taux d'affection des capacités réservées,X,Y,Puissance des projets en service du S3REnR en cours,Puissance des projets en développement du S3REnR en cours,Capacité d'accueil réservée au titre du S3REnR qui resteàaffecter,Puissance EnR déjé raccordée,Puissance des projets EnR en développement,Capacité réservée aux EnR au titre du S3REnR,Attention: la valeur de la capacité réservée a été modifiée sur ce poste,Quote-Part unitaire actualisée,Attention : Le S3REnR de la région est saturé,dont la convention de raccordement est signée,"Capacité d'accueil réservée au titre du S3REnR, disponible vue du réseau public de transport ","Travaux RTE indiqués dans le schéma ou dans son état initial, permettant d'augmenter la capacité réservée disponible",RTE - Capacité d'accueil en HTB2,RTE - Capacité d'accueil en HTB1,"Capacité d'accueil réservée au titre du S3REnR, restante sans travaux sur le poste source",Puissance cumulée des transformateurs existants,Nombre de transformateurs supplémentaires possible,Nombre de transformateurs existants,Consommation minimale,Tension aval,Tension amont,"Travaux GRD indiqués dans le schéma ou dans son état initial, permettant d'augmenter la capacité réservée disponible",Puissance en file d'attente,Puissance en file d'attente hors S3REnR majorée de la capacité réservée du S3REnR,Capacité de transformation HTB/HTA restante disponible pour l'injection sur le réseau public de distribution,"Travaux indiqués dans le schéma ou dans son état initial, permettant d'augmenter la capacité réservée disponible","Capacité d'accueil réservée au titre du S3REnR, disponible vue du réseau public de distribution en HTB",GRDHTB - Capacité d'accueil en HTB2,GRDHTB - Capacité d'accueil en HTB1,ratio_congestion_sous_tirage,RAM_sous_tirage,projet_injection,ratio_congestion_injection,RAM_injection,min_RAM,geo_point_2d,lat,lon
AIGRE,AIGRE,NOUVELLE-AQUITAINE,77%,467529.2,6536379.5,3.1,46.7,0.0,10.1,61.5,48.7,31/05/2022 : -2 MW vers LONGCHAMP RUFFEC | 31/05/2022 : -2 MW vers CONFOLENS | 24/05/2023 : -4 MW vers MANSLE | 31/01/2024 : +18 MW depuis ROUILLAC,89.94 k€/MW,,0.0,0.0,Injection LONGCHAMP 90 kV via RUFFECOIS,, <= 0.0MW,0.0,72.0,,2.0,3.3,16.0,90.0,Ajout d'un transformateur de 36 MVA,61.5,67.5,3.7,,,,,22,56.16,139.1,100,0.0,0.0,"45.887445558263224, 0.0017392162764658181",45.887445558263224,0.0017392162764658181
AIGU6,AIGUEPERSE,AUVERGNE-RHONE-ALPES,41%,715262.6,6547373.0,3.0,5.9,11.8,7.9,6.4,20.7,Trsf -10 MW le 11/07/24. Trsf de +3 MW le 30/09/24,41.11 k€/MW,,0.0,0.0,Ajout d'un DJ HTB au poste d'Aigueperse,0.0, > 15.0MW,16.9,40.0,,2.0,4.4,20.0,63.0,Mutation de deux transformateurs de 20 en 36éMVA,8.9,28.7,27.6,,,,,55,18.0,43.0,100,0.0,0.0,"46.02528299290634, 3.197238097822993",46.02528299290634,3.197238097822993
AIGUE,AIGUEBELLE,AUVERGNE-RHONE-ALPES,41%,958679.5,6497293.5,0.4,0.0,1.5,1.3,0.2,1.9,--,41.11 k€/MW,,0.0,1.7,Création d'un automate d'effacement de la production,0.0, <= 0.0MW,1.5,44.0,,2.0,1.8,20.0,42.0,,0.2,2.1,44.3,,,,,20,35.2,3.6,8,40.756,35.2,"45.526218076060324, 6.315211008299361",45.526218076060324,6.315211008299361
AIGUR,AIGURANDE,CENTRE,91%,609912.9,6595142.5,1.3,1.7,0.0,4.0,3.7,3.0,"Transfert +0,5 MW 21/08/23, transfert +0,5 MW 22/02/24, transfert +1 MW 13/11/23",62.75 k€/MW,,0.0,0.0,!,, <= 0.0MW,0.0,20.0,,1.0,1.4,21.0,89.0,,3.7,5.1,13.6,,,,,35,13.0,12.8,94,0.8160000000000007,0.8160000000000007,"46.449985986279245, 1.8270589139379816",46.449985986279245,1.8270589139379816
AILLE,AILLEVILLE,GRAND-EST,78%,825380.44,6795615.5,1.5,50.7,4.6,4.9,55.7,56.8,28/12/2023 : +32.1 MW.. 18/11/2024 : +7.74 MW,81.82 k€/MW,Non,0.0,0.0,.,0.0, de 0.0MW é 15.0MW,1.3,72.0,,2.0,3.2,21.0,63.0,,55.7,58.5,14.6,,,,,22,56.16,119.1,100,0.0,0.0,"48.24887081939181, 4.689586706040278",48.24887081939181,4.689586706040278
AIRAI,AIRAINES,HAUTS-DE-FRANCE,54%,625014.8,6985017.0,0.0,1.4,2.9,1.7,1.6,4.3,!,75.29 k€/MW,0.0,0.0,0.0,,0.0, <= 0.0MW,2.9,92.0,,3.0,3.6,20.0,90.0,,1.6,4.5,92.3,,,,,19,74.52000000000001,7.8,8,84.916,74.52000000000001,"49.9595788813146, 1.9557909893569676",49.9595788813146,1.9557909893569676
ALBE5,ALBERT,HAUTS-DE-FRANCE,54%,673784.7,6989640.0,0.3,25.3,30.5,3.9,25.5,56.1,!,75.29 k€/MW,0.0,0.0,0.0,,, <= 0.0MW,30.4,72.0,,2.0,6.3,20.0,90.0,,25.5,56.3,48.9,,,,,43,41.040000000000006,85.69999999999999,100,0.0,0.0,"50.004889141241286, 2.6347636148943328",50.004889141241286,2.6347636148943328
ALENC,ALENCON,BASSE-NORMANDIE,83%,482373.53,6818744.5,1.0,2.6,4.4,3.1,2.7,8.0,,11.94 k€/MW,,0.0,7.0,,0.0, > 15.0MW,4.4,116.0,,4.0,9.5,15.0,90.0,,2.7,8.1,119.6,,,,,40,69.6,13.9,11,106.444,69.6,"48.432502912184454, 0.05738791484280527",48.432502912184454,0.05738791484280527
ALERI,ALERIE,BASSE-NORMANDIE,83%,389406.3,6919128.5,0.3,1.6,2.7,1.3,1.6,4.6,,11.94 k€/MW,,0.0,2.9,,0.0, > 15.0MW,24.1,72.0,,2.0,7.6,21.0,89.0,,1.6,26.0,76.7,,,,,52,34.56,28.9,37,48.321000000000005,34.56,"49.295924542898014, -1.271245173399186",49.295924542898014,-1.271245173399186
ALESI,ALESIA,ILE DE FRANCE,70%,651268.5,6858620.0,0.1,0.0,0.2,0.2,0.0,0.3,,1.83 k€/MW,,0.0,0.2,,0.0, <= 0.0MW,0.2,444.0,,9.0,18.6,20.0,225.0,,0.0,0.3,462.5,,,,,20,355.20000000000005,0.5,0,462.5,355.20000000000005,"48.825309124643425, 2.336427953280517",48.825309124643425,2.336427953280517
ALLAI,ALLAIRE,BRETAGNE,96%,308666.62,6740775.5,2.3,1.8,6.9,2.3,2.6,11.0,"Adaptation +16 MW 09/05/22, transfert -6 MW 17/01/24",19.94 k€/MW,,0.0,15.0,,, > 15.0MW,0.0,20.0,,1.0,3.3,21.0,62.0,,2.6,7.9,18.4,,,,,82,3.600000000000001,12.8,69,5.704000000000001,3.600000000000001,"47.65114317193491, -2.216895561971231",47.65114317193491,-2.216895561971231
ALLEU,ALLEUX,HAUTS-DE-FRANCE,54%,623081.4,6952260.0,0.1,2.0,2.5,4.0,18.9,4.6,!,75.29 k€/MW,0.0,0.0,0.0,REFLEX 6.6 MW,0.0, <= 0.0MW,2.5,102.0,,3.0,7.7,20.0,90.0,Poste-source faisant partie de léexpérimentation REFLEX. ayant permis déajouter 6.6 MW de capacité réservée EnR,18.9,21.5,86.7,,,,,37,64.26,44.4,51,42.483,42.483,"49.66482479487139, 1.9348414184416036",49.66482479487139,1.9348414184416036
ALLIE,ALLIERES,AUVERGNE-RHONE-ALPES,41%,815786.56,6548860.0,1.0,0.7,7.9,3.1,0.9,9.6,--,41.11 k€/MW,,0.0,9.0,Sans Objet,0.0, > 15.0MW,7.9,20.0,,2.0,2.7,21.0,63.0,,0.9,9.8,18.7,,,,,67,6.6,13.8,73,5.049,5.049,"46.02945219768211, 4.497032939638238",46.02945219768211,4.497032939638238
ALOUE,ALOUETTES(LES),ILE DE FRANCE,70%,662884.94,6861936.0,0.1,0.0,1.2,0.5,0.0,1.3,,1.83 k€/MW,,0.0,1.3,,0.0, <= 0.0MW,1.2,320.0,,8.0,16.9,15.0,227.0,,0.0,1.3,336.4,,,,,26,236.8,1.8,0,336.4,236.8,"48.85662159489967, 2.4953587523929466",48.85662159489967,2.4953587523929466
ALSAC,ALSACE,ILE DE FRANCE,70%,644885.25,6865909.0,0.0,0.0,0.3,0.0,0.0,0.3,,1.83 k€/MW,,0.0,0.3,,0.0, <= 0.0MW,0.3,210.0,,3.0,23.6,21.0,227.0,,0.0,0.3,233.5,,,,,56,92.4,0.3,0,233.5,92.4,"48.89090543921816, 2.2483985032321256",48.89090543921816,2.2483985032321256
ALTKI,ALTKIRCH,GRAND-EST,78%,1017164.06,6733711.5,0.7,6.5,0.0,9.8,6.9,5.0,18/11/2024 : -9 MW,81.82 k€/MW,Non,0.0,12.7,.,0.0, > 15.0MW,7.8,72.0,,2.0,10.0,21.0,63.0,,6.9,15.4,65.3,,,,,69,22.320000000000004,32.1,49,33.303,22.320000000000004,"47.62751912921132, 7.225007882062048",47.62751912921132,7.225007882062048
AMANV,AMANVILLERS,GRAND-EST,78%,922408.25,6900994.0,0.2,0.2,1.5,0.9,0.2,1.9,18/11/2024 : -0.62 MW,81.82 k€/MW,Non,0.0,2.0,.,0.0, > 15.0MW,2.0,40.0,,2.0,3.9,21.0,63.0,,6.2,8.4,36.8,,,,,48,20.8,9.5,25,27.6,20.8,"49.16995760219159, 6.051119930706601",49.16995760219159,6.051119930706601
AMARG,AMARGUE,HAUTS-DE-FRANCE,54%,646295.7,6973497.5,0.1,1.5,3.6,2.7,1.8,5.2,!,75.29 k€/MW,0.0,0.0,0.0,,0.0, > 15.0MW,3.6,120.0,,3.0,13.4,15.0,225.0,,1.8,5.6,128.9,,,,,55,53.99999999999999,10.1,7,119.877,53.99999999999999,"49.85787487908768, 2.254034028385755",49.85787487908768,2.254034028385755
AMARI,AMARIN,GRAND-EST,78%,1000765.5,6760195.0,0.0,0.1,1.1,1.6,0.1,1.2,18/11/2024 : -1.28 MW,81.82 k€/MW,Non,0.0,2.4,.,0.0, > 15.0MW,2.3,40.0,,2.0,2.5,20.0,63.0,,0.1,2.5,40.8,,,,,31,27.6,4.2,10,36.72,27.6,"47.87364163798485, 7.024338675427806",47.87364163798485,7.024338675427806
AMBE5,AMBERT,AUVERGNE-RHONE-ALPES,41%,758223.94,6497424.5,3.4,6.7,0.0,6.1,7.0,8.0,Tsft +3MW le 18/03/24,41.11 k€/MW,,0.0,0.0,Sans Objet,0.0, > 15.0MW,0.0,40.0,,2.0,4.5,21.0,63.0,,7.0,12.4,31.4,,,,,56,17.599999999999998,25.5,81,5.965999999999998,5.965999999999998,"45.57353773998951, 3.746451633675052",45.57353773998951,3.746451633675052
AMBER,AMBERIEU,AUVERGNE-RHONE-ALPES,41%,880360.3,6542311.5,1.6,3.3,11.0,5.9,3.5,15.9,Trsf - 1MW le 28/11/23,41.11 k€/MW,,0.0,12.9,Sans Objet,0.0, > 15.0MW,11.0,72.0,,2.0,11.4,21.0,63.0,,6.0,18.5,71.6,,,,,79,15.119999999999996,27.9,38,44.392,15.119999999999996,"45.95654760416775, 5.328980531121973",45.95654760416775,5.328980531121973
AMBON,AMBON,BRETAGNE,96%,284991.6,6730643.5,9.0,4.8,0.0,6.4,6.5,11.0,"Transfert de -1 MW le 29/01/2019, transfert de -7 MW le 28/03/2019, transfert +7 MW 15/05/22, transfert +1 MW 17/01/24",19.94 k€/MW,,0.0,0.0,,, > 15.0MW,0.1,56.0,,2.0,5.8,21.0,62.0,,6.5,15.6,48.9,,,,,51,27.44,28.5,58,20.538,20.538,"47.545425844550934, -2.521864283439304",47.545425844550934,-2.521864283439304
AMELE,AMELECOURT (CHATEAU-SALINS),GRAND-EST,78%,956562.8,6864619.0,1.4,26.2,0.0,5.4,43.7,27.2,28/12/2023 : -11 MW.. 18/11/2024 : +2.23 MW,81.82 k€/MW,Non,0.0,0.8,Schéma GE: raccordement d'un transformateur 63/20 kV - 36 MVA,0.0, de 0.0MW é 15.0MW,0.0,108.0,,3.0,2.2,21.0,62.0,Ajout d'un transformateur de 36 MVA,43.7,53.5,61.2,,,,,10,97.2,102.6,100,0.0,0.0,"48.83026005714621, 6.495326413906316",48.83026005714621,6.495326413906316
AMELO,AMELOT (AEROPORT PARIS NORD),ILE DE FRANCE,70%,666327.44,6883260.5,0.4,0.0,1.0,0.5,0.4,1.4,,1.83 k€/MW,,0.0,1.4,,0.0, > 15.0MW,1.0,180.0,,5.0,9.1,21.0,63.0,,0.4,1.8,188.3,,,,,25,135.0,2.7,1,186.417,135.0,"49.006980114243426, 2.5393080038953566",49.006980114243426,2.5393080038953566
AMIEN,AMIENS,HAUTS-DE-FRANCE,54%,649221.0,6979442.0,0.1,0.2,3.4,1.2,0.2,3.7,!,75.29 k€/MW,0.0,0.0,0.0,,0.0, > 15.0MW,3.4,160.0,,4.0,16.7,15.0,225.0,,12.2,15.7,163.3,,,,,52,76.8,17.099999999999998,10,146.97000000000003,76.8,"49.91192460174056, 2.2938890221441475",49.91192460174056,2.2938890221441475
AMILL,AMILLY,CENTRE,91%,684330.3,6763189.5,0.6,43.8,0.0,2.3,43.8,44.0,2024-02-22 : +6 MW depuis COLUMEAUX (LES) | 2024-10-01 : +2 MW depuis BEAUNE-,62.75 k€/MW,,0.0,0.0,,, > 15.0MW,0.0,72.0,,2.0,6.4,21.0,89.0,,43.8,44.0,32.3,,,,,44,40.32000000000001,90.1,100,0.0,0.0,"47.968610309900434, 2.7897518824314007",47.968610309900434,2.7897518824314007
AMPE5,AMPERE,AUVERGNE-RHONE-ALPES,41%,833909.4,6544549.0,2.7,0.8,10.8,2.3,0.8,14.3,"Tsft -1MW le 18/03/24,-1 MW le 22/05/24",41.11 k€/MW,,0.0,11.4,Sans Objet,0.0, > 15.0MW,10.9,72.0,,2.0,10.1,21.0,63.0,,0.8,14.3,79.0,,,,,70,21.6,17.4,22,61.620000000000005,21.6,"45.98744771325024, 4.7301661600559095",45.98744771325024,4.7301661600559095
AMPER,AMPERE,ILE DE FRANCE,70%,651335.0,6869320.0,0.2,0.0,1.1,0.5,0.0,1.3,,1.83 k€/MW,,0.0,1.3,,0.0, > 15.0MW,1.1,290.0,,5.0,18.0,15.0,227.0,,0.0,1.3,307.5,,,,,31,200.1,1.8,0,307.5,200.1,"48.92115227205396, 2.3395525752904414",48.92115227205396,2.3395525752904414
AMPLE,AMPLEPUIS,AUVERGNE-RHONE-ALPES,41%,802078.44,6543032.0,0.8,3.0,25.6,3.3,3.0,29.4,"Tsft -8 MW le 18/03/24, -2 MW le 22/05/24",41.11 k€/MW,,0.0,4.6,Sans Objet,0.0, > 15.0MW,2.2,40.0,,2.0,2.6,21.0,63.0,Mutation d'un transformateur de 20 en 36éMVA,3.0,19.4,36.2,,,,,32,27.199999999999996,25.7,70,10.860000000000005,10.860000000000005,"45.979390349429124, 4.318557738802961",45.979390349429124,4.318557738802961
ANCEN,ANCENIS,PAYS-DE-LA-LOIRE,24%,384756.25,6705825.5,1.4,7.4,40.2,20.8,10.3,49.0,!,45.09 k€/MW,,0.0,49.0,,, > 15.0MW,40.2,108.0,,3.0,13.5,21.0,89.0,,10.3,51.9,90.4,,,,,62,41.04,83.0,91,8.135999999999997,8.135999999999997,"47.37762439711667, -1.1801725640153544",47.37762439711667,-1.1801725640153544
ANCIZ,LES ANCIZES,AUVERGNE-RHONE-ALPES,41%,687239.94,6535751.5,2.6,15.9,20.3,9.4,15.9,38.8,Trsf de -16 MW le 30/09/24 associéàun Trsf de travaux,41.11 k€/MW,,0.0,0.0,Création du poste 225/63 kV des ANCIZES,0.0, <= 0.0MW,0.0,40.0,,2.0,3.4,21.0,63.0,Mutation de deux transformateurs de 20 en 36éMVA,11.7,32.5,22.3,,,,,42,23.200000000000003,57.8,100,0.0,0.0,"45.9214107914692, 2.835670387622674",45.9214107914692,2.835670387622674
ANDE5,LES ANDELYS,HAUTE-NORMANDIE,97%,584377.56,6906179.0,0.9,1.8,0.0,2.6,1.8,2.0,,12.40 k€/MW,,0.0,21.3,,0.0, > 15.0MW,7.2,72.0,,2.0,5.9,16.0,89.0,Création d'un transformateur 36 MVA,3.1,14.2,72.2,,,,,40,43.2,18.6,25,54.150000000000006,43.2,"49.244756795669716, 1.4121050413068217",49.244756795669716,1.4121050413068217
ANDUZ,ANDUZE,OCCITANIE,35%,778954.9,6327447.5,0.4,6.7,1.9,6.6,8.8,9.0,_,81.6 k€/MW,,0.0,5.3,,, <= 0.0MW,1.9,56.0,,2.0,5.1,20.0,63.0,,10.0,12.3,44.5,,,,,45,30.800000000000004,27.700000000000003,62,16.91,16.91,"44.04151098386958, 3.985284276672921",44.04151098386958,3.985284276672921
ANGEL,ANGELIQUE,CENTRE,91%,621800.56,6737534.5,0.5,8.6,0.4,0.9,8.6,9.5,2024-06-01 : -1 MW vers CHATEAUNEUF-SUR-LOIRE | 2024-06-01 : -4 MW vers MADRON (LE) | NA | 2024-10-01 : +8.5 MW depuis BEAUGENCY,62.75 k€/MW,,0.0,0.6,,, > 15.0MW,0.4,40.0,,2.0,3.9,21.0,89.0,,8.6,9.5,34.3,,,,,48,20.8,19.0,55,15.434999999999995,15.434999999999995,"47.73363693482572, 1.9566284607735875",47.73363693482572,1.9566284607735875
ANGER,ANGERS,PAYS-DE-LA-LOIRE,24%,432775.84,6714965.0,0.2,0.0,29.8,0.9,0.0,30.0,!,45.09 k€/MW,,0.0,30.0,,, > 15.0MW,29.8,108.0,,3.0,12.0,21.0,90.0,,0.0,30.0,119.0,,,,,55,48.599999999999994,30.9,25,89.25,48.599999999999994,"47.48123571750888, -0.5499244597109944",47.48123571750888,-0.5499244597109944
